2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-18 02:28:24 - INFO - Log guardado en: logs\18_02_28_Elit_10.log
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - 
================================================================================
2025-10-18 02:28:24 - INFO - ALGORITMO GENÉTICO
2025-10-18 02:28:24 - INFO - ================================================================================
2025-10-18 02:28:24 - INFO - Días: 20
2025-10-18 02:28:24 - INFO - Lugares/día: 12
2025-10-18 02:28:24 - INFO - Población: 750
2025-10-18 02:28:24 - INFO - Tiempo límite: 2h 0m (2.00h)
2025-10-18 02:28:24 - INFO - Elitismo: 10%
2025-10-18 02:28:24 - INFO - Dataset: 2237 lugares en 20 ciudades
2025-10-18 02:28:24 - INFO - 💡 Presiona 'q' + ENTER en cualquier momento para detener y guardar el mejor resultado
2025-10-18 02:28:24 - INFO - ================================================================================

2025-10-18 02:28:24 - INFO - Creando población inicial
2025-10-18 02:32:50 - INFO - Evaluando población inicial
2025-10-18 02:32:54 - INFO - 
Iniciando evolución (hasta 7200s)...

2025-10-18 03:10:28 - INFO -   Gen  583 | Tiempo:   42.0m (resta: 78m) | Fitness:    153.3 | Puntos: 17368 | Dist:   125.5km
2025-10-18 03:11:28 - INFO -   Gen  599 | Tiempo:   43.0m (resta: 76m) | Fitness:    153.3 | Puntos: 17368 | Dist:   125.5km
2025-10-18 03:11:32 - INFO -   Gen  600 | Tiempo:   43.1m (resta: 76m) | Fitness:    153.3 | Puntos: 17368 | Dist:   125.5km
2025-10-18 03:12:33 - INFO -   Gen  616 | Tiempo:   44.1m (resta: 75m) | Fitness:    153.3 | Puntos: 17368 | Dist:   125.5km
2025-10-18 03:13:34 - INFO -   Gen  632 | Tiempo:   45.1m (resta: 74m) | Fitness:    153.6 | Puntos: 17397 | Dist:   126.5km
2025-10-18 03:14:35 - INFO -   Gen  648 | Tiempo:   46.1m (resta: 73m) | Fitness:    153.7 | Puntos: 17404 | Dist:   127.0km
2025-10-18 03:14:42 - INFO -   Gen  650 | Tiempo:   46.2m (resta: 73m) | Fitness:    153.7 | Puntos: 17404 | Dist:   127.0km
2025-10-18 03:15:44 - INFO -   Gen  666 | Tiempo:   47.3m (resta: 72m) | Fitness:    153.8 | Puntos: 17420 | Dist:   131.9km
2025-10-18 03:16:46 - INFO -   Gen  682 | Tiempo:   48.3m (resta: 71m) | Fitness:    153.8 | Puntos: 17420 | Dist:   131.9km
2025-10-18 03:17:48 - INFO -   Gen  698 | Tiempo:   49.3m (resta: 70m) | Fitness:    153.8 | Puntos: 17422 | Dist:   131.3km
2025-10-18 03:17:56 - INFO -   Gen  700 | Tiempo:   49.5m (resta: 70m) | Fitness:    153.8 | Puntos: 17422 | Dist:   131.3km
2025-10-18 03:18:57 - INFO -   Gen  716 | Tiempo:   50.5m (resta: 69m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:19:58 - INFO -   Gen  732 | Tiempo:   51.5m (resta: 68m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
2025-10-18 03:20:58 - INFO -   Gen  748 | Tiempo:   52.5m (resta: 67m) | Fitness:    154.2 | Puntos: 17456 | Dist:   123.6km
