2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-17 03:18:07 - INFO - Log guardado en: logs\Pob_5000_17_03_18.log
2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - 
================================================================================
2025-10-17 03:18:07 - INFO - ALGORITMO GENÉTICO
2025-10-17 03:18:07 - INFO - ================================================================================
2025-10-17 03:18:07 - INFO - Días: 20
2025-10-17 03:18:07 - INFO - Lugares/día: 12
2025-10-17 03:18:07 - INFO - Población: 5000
2025-10-17 03:18:07 - INFO - Tiempo límite: 8h 0m (8.00h)
2025-10-17 03:18:07 - INFO - Elitismo: 15%
2025-10-17 03:18:07 - INFO - Dataset: 1367 lugares en 10 ciudades
2025-10-17 03:18:07 - INFO - ================================================================================

2025-10-17 03:18:07 - INFO - Creando población inicial
2025-10-17 03:18:22 - INFO - Evaluando población inicial
2025-10-17 03:20:57 - INFO - 
Iniciando evolución (hasta 28800s)...

2025-10-17 05:19:27 - INFO -   Gen   48 | Tiempo:  119.2m (resta: 360m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:21:39 - INFO -   Gen   49 | Tiempo:  121.3m (resta: 358m) | Fitness:   8906.5 | Puntos: 12671 | Dist:   215.0km
2025-10-17 05:23:46 - INFO -   Gen   50 | Tiempo:  123.5m (resta: 356m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:25:51 - INFO -   Gen   51 | Tiempo:  125.7m (resta: 354m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:27:55 - INFO -   Gen   52 | Tiempo:  127.7m (resta: 352m) | Fitness:   8998.4 | Puntos: 12769 | Dist:   235.3km
2025-10-17 05:29:58 - INFO -   Gen   53 | Tiempo:  129.8m (resta: 350m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:32:00 - INFO -   Gen   54 | Tiempo:  131.8m (resta: 348m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:34:01 - INFO -   Gen   55 | Tiempo:  133.9m (resta: 346m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:36:04 - INFO -   Gen   56 | Tiempo:  135.9m (resta: 344m) | Fitness:   9006.8 | Puntos: 12845 | Dist:   219.5km
2025-10-17 05:38:03 - INFO -   Gen   57 | Tiempo:  137.9m (resta: 342m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:40:01 - INFO -   Gen   58 | Tiempo:  139.9m (resta: 340m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:41:57 - INFO -   Gen   59 | Tiempo:  141.9m (resta: 338m) | Fitness:   9087.2 | Puntos: 12957 | Dist:   232.7km
2025-10-17 05:43:46 - INFO -   Gen   60 | Tiempo:  143.8m (resta: 336m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:45:28 - INFO -   Gen   61 | Tiempo:  145.6m (resta: 334m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:47:00 - INFO -   Gen   62 | Tiempo:  147.3m (resta: 332m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:48:26 - INFO -   Gen   63 | Tiempo:  148.9m (resta: 331m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:49:47 - INFO -   Gen   64 | Tiempo:  150.3m (resta: 329m) | Fitness:   9292.6 | Puntos: 12856 | Dist:   211.5km
2025-10-17 05:51:01 - INFO -   Gen   65 | Tiempo:  151.7m (resta: 328m) | Fitness:   9376.8 | Puntos: 12841 | Dist:   214.1km
2025-10-17 05:52:10 - INFO -   Gen   66 | Tiempo:  152.9m (resta: 327m) | Fitness:   9376.8 | Puntos: 12841 | Dist:   214.1km
2025-10-17 05:53:15 - INFO -   Gen   67 | Tiempo:  154.0m (resta: 325m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:54:15 - INFO -   Gen   68 | Tiempo:  155.1m (resta: 324m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:55:15 - INFO -   Gen   69 | Tiempo:  156.1m (resta: 323m) | Fitness:   9392.7 | Puntos: 13150 | Dist:   190.9km
2025-10-17 05:57:10 - INFO -   Gen   71 | Tiempo:  158.1m (resta: 321m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 05:59:02 - INFO -   Gen   73 | Tiempo:  160.0m (resta: 320m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:00:53 - INFO -   Gen   75 | Tiempo:  161.9m (resta: 318m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:02:40 - INFO -   Gen   77 | Tiempo:  163.7m (resta: 316m) | Fitness:   9492.2 | Puntos: 12857 | Dist:   216.1km
2025-10-17 06:04:24 - INFO -   Gen   79 | Tiempo:  165.4m (resta: 314m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:06:04 - INFO -   Gen   81 | Tiempo:  167.1m (resta: 312m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:07:40 - INFO -   Gen   83 | Tiempo:  168.7m (resta: 311m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:09:16 - INFO -   Gen   85 | Tiempo:  170.3m (resta: 309m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:10:50 - INFO -   Gen   87 | Tiempo:  171.9m (resta: 308m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:12:22 - INFO -   Gen   89 | Tiempo:  173.5m (resta: 306m) | Fitness:   9629.5 | Puntos: 13187 | Dist:   191.7km
2025-10-17 06:13:51 - INFO -   Gen   91 | Tiempo:  175.0m (resta: 305m) | Fitness:   9637.3 | Puntos: 13106 | Dist:   229.2km
2025-10-17 06:15:20 - INFO -   Gen   93 | Tiempo:  176.5m (resta: 303m) | Fitness:   9697.4 | Puntos: 13163 | Dist:   218.7km
2025-10-17 06:16:48 - INFO -   Gen   95 | Tiempo:  178.0m (resta: 302m) | Fitness:   9778.5 | Puntos: 13147 | Dist:   228.4km
2025-10-17 06:18:18 - INFO -   Gen   97 | Tiempo:  179.4m (resta: 300m) | Fitness:   9855.0 | Puntos: 13225 | Dist:   233.4km
2025-10-17 06:19:46 - INFO -   Gen   99 | Tiempo:  180.9m (resta: 299m) | Fitness:   9855.0 | Puntos: 13225 | Dist:   233.4km
2025-10-17 06:20:29 - INFO -   Gen  100 | Tiempo:  181.6m (resta: 298m) | Fitness:   9855.0 | Puntos: 13225 | Dist:   233.4km
2025-10-17 06:21:59 - INFO -   Gen  102 | Tiempo:  183.1m (resta: 296m) | Fitness:   9855.0 | Puntos: 13225 | Dist:   233.4km
2025-10-17 06:23:28 - INFO -   Gen  104 | Tiempo:  184.6m (resta: 295m) | Fitness:   9855.0 | Puntos: 13225 | Dist:   233.4km
2025-10-17 06:24:57 - INFO -   Gen  106 | Tiempo:  186.1m (resta: 293m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:26:27 - INFO -   Gen  108 | Tiempo:  187.6m (resta: 292m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:27:56 - INFO -   Gen  110 | Tiempo:  189.1m (resta: 290m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:29:26 - INFO -   Gen  112 | Tiempo:  190.6m (resta: 289m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:30:54 - INFO -   Gen  114 | Tiempo:  192.0m (resta: 287m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:32:23 - INFO -   Gen  116 | Tiempo:  193.5m (resta: 286m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:33:52 - INFO -   Gen  118 | Tiempo:  195.0m (resta: 284m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:35:21 - INFO -   Gen  120 | Tiempo:  196.5m (resta: 283m) | Fitness:  10088.1 | Puntos: 13343 | Dist:   183.0km
2025-10-17 06:36:49 - INFO -   Gen  122 | Tiempo:  198.0m (resta: 282m) | Fitness:  10130.6 | Puntos: 13292 | Dist:   204.6km
2025-10-17 06:38:18 - INFO -   Gen  124 | Tiempo:  199.4m (resta: 280m) | Fitness:  10130.6 | Puntos: 13292 | Dist:   204.6km
2025-10-17 06:39:47 - INFO -   Gen  126 | Tiempo:  200.9m (resta: 279m) | Fitness:  10130.6 | Puntos: 13292 | Dist:   204.6km
2025-10-17 06:41:16 - INFO -   Gen  128 | Tiempo:  202.4m (resta: 277m) | Fitness:  10306.0 | Puntos: 13565 | Dist:   196.7km
2025-10-17 06:42:46 - INFO -   Gen  130 | Tiempo:  203.9m (resta: 276m) | Fitness:  10306.0 | Puntos: 13565 | Dist:   196.7km
2025-10-17 06:44:15 - INFO -   Gen  132 | Tiempo:  205.4m (resta: 274m) | Fitness:  10306.0 | Puntos: 13565 | Dist:   196.7km
2025-10-17 06:45:44 - INFO -   Gen  134 | Tiempo:  206.9m (resta: 273m) | Fitness:  10306.0 | Puntos: 13565 | Dist:   196.7km
2025-10-17 06:47:14 - INFO -   Gen  136 | Tiempo:  208.4m (resta: 271m) | Fitness:  10334.4 | Puntos: 13496 | Dist:   205.2km
2025-10-17 06:48:45 - INFO -   Gen  138 | Tiempo:  209.9m (resta: 270m) | Fitness:  10334.4 | Puntos: 13496 | Dist:   205.2km
2025-10-17 06:50:16 - INFO -   Gen  140 | Tiempo:  211.4m (resta: 268m) | Fitness:  10600.9 | Puntos: 13559 | Dist:   193.8km
2025-10-17 06:51:46 - INFO -   Gen  142 | Tiempo:  212.9m (resta: 267m) | Fitness:  10600.9 | Puntos: 13559 | Dist:   193.8km
2025-10-17 06:53:17 - INFO -   Gen  144 | Tiempo:  214.4m (resta: 265m) | Fitness:  10600.9 | Puntos: 13559 | Dist:   193.8km
2025-10-17 06:54:48 - INFO -   Gen  146 | Tiempo:  215.9m (resta: 264m) | Fitness:  10600.9 | Puntos: 13559 | Dist:   193.8km
2025-10-17 06:56:18 - INFO -   Gen  148 | Tiempo:  217.4m (resta: 262m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 06:57:49 - INFO -   Gen  150 | Tiempo:  218.9m (resta: 261m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 06:59:20 - INFO -   Gen  152 | Tiempo:  220.5m (resta: 259m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:00:50 - INFO -   Gen  154 | Tiempo:  222.0m (resta: 258m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:02:20 - INFO -   Gen  156 | Tiempo:  223.5m (resta: 256m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:03:51 - INFO -   Gen  158 | Tiempo:  225.0m (resta: 255m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:05:22 - INFO -   Gen  160 | Tiempo:  226.5m (resta: 253m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:06:52 - INFO -   Gen  162 | Tiempo:  228.0m (resta: 251m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:08:20 - INFO -   Gen  164 | Tiempo:  229.5m (resta: 250m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:09:51 - INFO -   Gen  166 | Tiempo:  231.0m (resta: 249m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:11:21 - INFO -   Gen  168 | Tiempo:  232.5m (resta: 247m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:12:52 - INFO -   Gen  170 | Tiempo:  234.0m (resta: 246m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:14:23 - INFO -   Gen  172 | Tiempo:  235.5m (resta: 244m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:15:52 - INFO -   Gen  174 | Tiempo:  237.0m (resta: 242m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:17:21 - INFO -   Gen  176 | Tiempo:  238.5m (resta: 241m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:18:51 - INFO -   Gen  178 | Tiempo:  240.0m (resta: 240m) | Fitness:  10677.9 | Puntos: 13537 | Dist:   197.1km
2025-10-17 07:20:20 - INFO -   Gen  180 | Tiempo:  241.5m (resta: 238m) | Fitness:  10860.2 | Puntos: 13618 | Dist:   192.7km
2025-10-17 07:21:49 - INFO -   Gen  182 | Tiempo:  243.0m (resta: 237m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:23:16 - INFO -   Gen  184 | Tiempo:  244.4m (resta: 235m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:24:44 - INFO -   Gen  186 | Tiempo:  245.9m (resta: 234m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:26:12 - INFO -   Gen  188 | Tiempo:  247.3m (resta: 232m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:27:41 - INFO -   Gen  190 | Tiempo:  248.8m (resta: 231m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:29:09 - INFO -   Gen  192 | Tiempo:  250.3m (resta: 229m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:30:37 - INFO -   Gen  194 | Tiempo:  251.8m (resta: 228m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:32:04 - INFO -   Gen  196 | Tiempo:  253.2m (resta: 226m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:33:32 - INFO -   Gen  198 | Tiempo:  254.7m (resta: 225m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:34:59 - INFO -   Gen  200 | Tiempo:  256.1m (resta: 223m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:36:26 - INFO -   Gen  202 | Tiempo:  257.6m (resta: 222m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:37:54 - INFO -   Gen  204 | Tiempo:  259.0m (resta: 220m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:39:22 - INFO -   Gen  206 | Tiempo:  260.5m (resta: 219m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:40:50 - INFO -   Gen  208 | Tiempo:  262.0m (resta: 218m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:42:18 - INFO -   Gen  210 | Tiempo:  263.4m (resta: 216m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:43:46 - INFO -   Gen  212 | Tiempo:  264.9m (resta: 215m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:45:15 - INFO -   Gen  214 | Tiempo:  266.4m (resta: 213m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:46:44 - INFO -   Gen  216 | Tiempo:  267.9m (resta: 212m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
2025-10-17 07:48:12 - INFO -   Gen  218 | Tiempo:  269.3m (resta: 210m) | Fitness:  11019.1 | Puntos: 13578 | Dist:   196.3km
